entidad,clase_especifica
http://example.org/biointegrate/goterm/GO_0045600,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0045666,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0045669,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0045778,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0045786,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0045892,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0045893,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0045944,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0046602,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0047023,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0047044,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0047086,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0047115,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0047718,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0048662,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0048708,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0048711,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0048762,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0048839,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0051042,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0051231,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0051301,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0051865,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0051897,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0055007,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0055008,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0060039,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0060128,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0060129,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0060271,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0060317,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0060348,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0060391,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0060426,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0060485,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0061036,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0062023,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0062105,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0070062,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0070374,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0070700,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0070724,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0071395,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0071559,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0071773,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0071799,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0072138,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0072686,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0090090,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0090161,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0090307,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0141162,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0150005,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_1900159,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_1900745,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_1901331,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_1902895,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_1905072,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_1905222,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_2000065,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_2000480,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_2000726,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0000122,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0005634,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0005654,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0005874,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0005886,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0005929,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0008017,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0008284,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0043231,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0005829,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/protein/P12643,http://example.org/biointegrate/Protein
http://example.org/biointegrate/protein/P29372,http://example.org/biointegrate/Protein
http://example.org/biointegrate/protein/P52732,http://example.org/biointegrate/Protein
http://example.org/biointegrate/protein/P52895,http://example.org/biointegrate/Protein
http://example.org/biointegrate/protein/P61925,http://example.org/biointegrate/Protein
http://example.org/biointegrate/protein/Q5W0B1,http://example.org/biointegrate/Protein
http://example.org/biointegrate/protein/Q6TCH4,http://example.org/biointegrate/Protein
http://example.org/biointegrate/protein/Q8IY81,http://example.org/biointegrate/Protein
http://example.org/biointegrate/protein/Q9C0D6,http://example.org/biointegrate/Protein
http://example.org/biointegrate/protein/Q9NR99,http://example.org/biointegrate/Protein
http://example.org/biointegrate/expression/HGNC_1069_TCGA-GBM_3ed101b5-0007-4957-a25d-4cf43bde08b6,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_1069_TCGA-GBM_3f960d3b-a58c-43d0-a8a4-f3555b399c9d,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_1069_TCGA-GBM_407849a8-8447-4ede-a9d1-c1dfb535222e,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_1069_TCGA-GBM_41685c5a-a548-483a-8a20-305ad8d61771,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_1069_TCGA-LGG_a56c2083-33d5-4c98-b85f-3b68a3d80add,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_1069_TCGA-LGG_a5f851c5-6130-4ea1-9f86-be59331a92f7,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_1069_TCGA-LGG_d209cffc-fe21-4ae7-b610-e5668ea84a3b,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_1069_TCGA-LGG_d3d8987d-0a54-45f8-b9c9-17ec89fa864e,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_1069_TCGA-LGG_d50e944a-3ce4-4632-a878-118499e143e3,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_1069_TCGA-LGG_da13446a-c4dc-4d02-80c8-410273925ac4,http://example.org/biointegrate/ExpressionMeasurement
